Symbol,Price,Time
BANKA.NS,67.63,2026-01-02 22:48:02
BANKBARODA.NS,305.05,2026-01-02 22:48:02
BANKINDIA.NS,149.22,2026-01-02 22:48:02
BANSALWIRE.NS,311.25,2026-01-02 22:48:02
BANSWRAS.NS,114.38,2026-01-02 22:48:03
BASF.NS,3934.8,2026-01-02 22:48:03
BASML.NS,26.19,2026-01-02 22:48:03
BATAINDIA.NS,950.15,2026-01-02 22:48:03
BAYERCROP.NS,4546.7,2026-01-02 22:48:04
BBL.NS,2759.9,2026-01-02 22:48:04
BBOX.NS,557.4,2026-01-02 22:48:04
BBTC.NS,1880.9,2026-01-02 22:48:04
BBTCL.NS,193.68,2026-01-02 22:48:05
BCG.NS,10.55,2026-01-02 22:48:05
BCLIND.NS,32.74,2026-01-02 22:48:05
BCONCEPTS.NS,337.7,2026-01-02 22:48:05
BDL.NS,1495.0,2026-01-02 22:48:06
BEARDSELL.NS,30.33,2026-01-02 22:48:06
BECTORFOOD.NS,244.49,2026-01-02 22:48:06
BEDMUTHA.NS,111.42,2026-01-02 22:48:06
BEL.NS,403.15,2026-01-02 22:48:07
BELLACASA.NS,379.5,2026-01-02 22:48:07
BELRISE.NS,185.05,2026-01-02 22:48:07
BEML.NS,1857.8,2026-01-02 22:48:07
BEPL.NS,91.24,2026-01-02 22:48:08
BERGEPAINT.NS,524.1,2026-01-02 22:48:08
BESTAGRO.NS,390.3,2026-01-02 22:48:08
BETA.NS,1629.4,2026-01-02 22:48:08
BFINVEST.NS,418.55,2026-01-02 22:48:09
BFUTILITIE.NS,685.25,2026-01-02 22:48:09
BGRENERGY.NS,359.1,2026-01-02 22:48:09
BHAGCHEM.NS,200.62,2026-01-02 22:48:09
BHAGERIA.NS,183.41,2026-01-02 22:48:10
BHAGYANGR.NS,161.24,2026-01-02 22:48:10
BHANDARI.NS,4.24,2026-01-02 22:48:10
BHARATFORG.NS,1477.2,2026-01-02 22:48:10
BHARATGEAR.NS,117.29,2026-01-02 22:48:11
BHARATRAS.NS,2202.0,2026-01-02 22:48:11
BHARATSE.NS,177.6,2026-01-02 22:48:11
BHARATWIRE.NS,186.62,2026-01-02 22:48:11
BHARTIARTL.NS,2106.3,2026-01-02 22:48:12
BHARTIHEXA.NS,1802.1,2026-01-02 22:48:12
BHEL.NS,299.5,2026-01-02 22:48:12
BIGBLOC.NS,73.06,2026-01-02 22:48:12
BIKAJI.NS,735.6,2026-01-02 22:48:13
BIL.NS,735.35,2026-01-02 22:48:15
BILVYAPAR.NS,7.49,2026-01-02 22:48:15
BIOCON.NS,392.95,2026-01-02 22:48:15
BIOFILCHEM.NS,33.49,2026-01-02 22:48:16
BIRLACABLE.NS,136.54,2026-01-02 22:48:16
BIRLACORPN.NS,1109.3,2026-01-02 22:48:16
BIRLAMONEY.NS,144.65,2026-01-02 22:48:16
BIRLANU.NS,1741.1,2026-01-02 22:48:17
BLACKBUCK.NS,699.1,2026-01-02 22:48:17
BLAL.NS,207.22,2026-01-02 22:48:17
BLBLIMITED.NS,13.8,2026-01-02 22:48:17
BLISSGVS.NS,162.82,2026-01-02 22:48:17
BLKASHYAP.NS,53.5,2026-01-02 22:48:18
BLS.NS,316.8,2026-01-02 22:48:18
BLSE.NS,199.35,2026-01-02 22:48:18
BLUECOAST.NS,35.09,2026-01-02 22:48:18
BLUEDART.NS,5593.5,2026-01-02 22:48:19
